"","서울","부산","대구","인천","광주","대전","울산","수원","청주","제주","전주"
"..11",1738.33333333333,1937.5,1627.5,1280,1610,1335,1980,2050,1890,1980,1380
"..12",1738.33333333333,1937.5,1627.5,1280,1610,1560,1980,2050,1890,1980,1380
"..13",1738.33333333333,1937.5,1627.5,1280,1610,1560,1980,2050,2010,1980,1380
"..14",1538.33333333333,1692.5,1442.5,1380,1390,1310,1000,2050,2010,1980,1380
"..15",1538.33333333333,1692.5,1492.5,1380,1390,1310,1000,2050,2010,2140,1380
"..16",1543.33333333333,1692.5,1492.5,1380,1390,1310,1000,2110,2340,2140,1380
"..17",1543.33333333333,1692.5,1492.5,1380,1390,1310,1000,1580,2340,2140,1380
"..18",1543.33333333333,1692.5,1492.5,1380,1390,1310,1000,1580,2340,2140,1380
"..19",1676.66666666667,2080,1760,1380,1635,1660,2380,1580,2340,2140,1380
"..110",1676.66666666667,2080,1860,1380,1735,1635,1380,1580,2340,2320,1380
"..111",1676.66666666667,2105,1860,1380,1735,1635,1380,1580,2370,2320,1380
"..112",1743.33333333333,2105,1860,1380,1760,1352.5,1380,1580,2370,2320,1380
"..113",1743.33333333333,2105,1872.5,1380,1760,1352.5,1380,1580,2370,2320,1380
"..114",1793.33333333333,2105,2042.5,1380,1885,1860,1380,1580,2370,2650,1680
"..115",1793.33333333333,2155,2042.5,1380,1885,1860,1380,2240,2370,2650,1680
"..116",1665,2180,2042.5,1380,2060,1860,2380,2240,2370,2650,1680
"..117",1722,2205,2105,1380,2210,1860,2680,2240,2490,2650,1680
"..118",1722,2255,2185,1380,2210,1610,2680,2240,2490,2650,1680
"..119",1665,2355,2185,1380,2260,1680,2680,2440,2490,2700,1980
"..120",1665,2355,2185,1380,2260,1680,2680,2440,2490,2580,1980
"..121",1942,2535,2210,2580,2260,2160,2680,2280,2580,2580,1980
"..122",1911.66666666667,2535,2210,2580,2260,2160,2680,2280,2580,2270,1980
"..123",2296.66666666667,2585,2210,1980,2260,2335,2680,2840,2580,2580,1980
"..124",1996.66666666667,2585,2210,1680,2035,2335,2680,2840,2580,2580,1980
"..125",2046.66666666667,2585,2085,1980,2210,2335,2680,2840,2580,2580,1980
"..126",1845,2560,2085,1680,2035,2010,2680,2840,2580,2580,1680
"..127",1795,2610,2085,1680,2035,2010,2680,2840,2580,2240,1680
"..128",1921.66666666667,2635,2160,1680,2035,2010,2680,2840,2580,2240,1680
"..129",1938.33333333333,2635,2160,1680,2060,2010,2680,2840,2580,2240,1680
"..130",1938.33333333333,2635,2160,1680,2060,1985,2680,2690,2580,2240,1680
"..131",2091.66666666667,2635,2185,1680,2060,2010,2680,2690,2580,2240,1680
"..132",2076.66666666667,2635,2085,1680,2060,2010,2680,2690,1650,1980,1680
"..133",2018.33333333333,2635,2085,1680,2060,2010,2680,2510,1650,1980,1680
"..134",2018.33333333333,2635,2085,1680,2060,2010,2680,2510,1650,1980,1680
"..135",1835,2585,2130,1580,2035,2010,2680,2510,1650,1980,1680
"..136",1681.66666666667,2585,2130,1580,2010,1985,2680,2510,1650,1980,1680
"..137",1681.66666666667,2585,2130,1580,1985,1985,2680,2510,1650,1980,1680
"..138",1760,2585,2130,1580,1985,1985,2680,2510,2450,1980,1680
"..139",1760,2585,2130,1580,1985,1730,2680,2510,2020,1980,1680
"..140",1696.66666666667,2360,1905,1380,1835,1785,1880,1480,2020,1980,1380
"..141",1780,2360,1860,1780,1735,1835,1880,1480,2020,1980,1680
"..142",1761.66666666667,2260,1860,1680,1735,1860,1880,1480,2020,2240,1680
"..143",1761.66666666667,2210,1835,1680,1760,1860,1880,1480,2020,1980,1680
"..144",1761.66666666667,2310,1785,1680,1760,1860,1880,1480,1950,1980,1680
"..145",1761.66666666667,2310,1785,1680,1760,1860,1880,1480,1950,1980,1680
"..146",1761.66666666667,2310,1785,1680,1760,1860,1880,1480,1950,1980,1680
"..147",1793.33333333333,2310,1785,1680,1760,1860,1880,2510,1950,1980,1680
"..148",1793.33333333333,2310,1877.5,1680,1760,1860,1880,2510,1950,1940,1680
"..149",1793.33333333333,2310,1877.5,1680,1760,1860,1880,2510,1950,1940,1680
"..150",1793.33333333333,2310,1877.5,1680,1760,1860,1880,2510,1950,1940,1680
"..151",1793.33333333333,2310,1877.5,1680,1760,1860,1880,2510,2050,1940,1680
"..152",1783.33333333333,2310,1877.5,1680,1760,1860,1880,2510,2100,2480,1680
"..153",1783.33333333333,2310,1877.5,1680,1760,1860,1880,2510,2100,2480,1680
"..154",1783.33333333333,2310,1877.5,1680,1760,1860,1880,2510,2100,2480,1680
"..155",1783.33333333333,2310,1877.5,1680,1760,1860,1880,2510,2100,2480,1680
"..156",1783.33333333333,2310,1877.5,1680,1760,1860,1880,2510,2100,2480,1680
"..157",1736.66666666667,2310,1877.5,1680,1760,1860,1880,2510,1980,2480,1680
"..158",1736.66666666667,2310,1877.5,1680,1760,1860,1880,2510,2280,2480,1680
"..159",1736.66666666667,2310,1877.5,1680,1760,1860,1880,2510,2280,2480,1680
"..160",1736.66666666667,2310,1877.5,1680,1760,1935,2180,2510,2280,2480,1680
"..161",1736.66666666667,2335,1877.5,1680,1760,1935,2180,2510,2280,2480,1680
"..162",1853.33333333333,2335,1877.5,1680,1760,1935,2180,2450,2280,2580,1680
"..163",1866.66666666667,2335,1877.5,1680,1760,1935,2180,2450,2280,2580,1680
"..164",1866.66666666667,2335,1877.5,1680,1760,1935,2180,2450,2280,2580,1680
"..165",1916.66666666667,2335,1877.5,1680,1760,1935,2180,2450,2280,2580,1680
"..166",1868.33333333333,2335,1877.5,1680,1760,1935,2180,2450,2280,1980,1680
"..167",1866.66666666667,2335,1877.5,1980,1760,1935,2180,2390,2280,2580,1680
"..168",1866.66666666667,2335,1877.5,1980,1760,1935,2180,2390,2280,2580,1680
"..169",1866.66666666667,2335,1877.5,1980,1885,1935,2180,2390,2280,2580,1680
"..170",1916.66666666667,2335,1877.5,1980,1760,1935,2180,2390,1790,2580,1680
"..171",1916.66666666667,2335,1877.5,1980,1760,1935,2180,2390,1790,2580,1680
"..172",2026.66666666667,2335,1877.5,1680,1885,1935,2180,2310,1790,2570,1680
"..173",2026.66666666667,2335,1877.5,1980,1885,1935,2180,2310,1790,2570,1680
"..174",2026.66666666667,2335,1877.5,1980,1885,1935,2180,2310,1790,2570,1680
"..175",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,1790,2570,1680
"..176",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,1790,2570,1680
"..177",1743.33333333333,2335,1877.5,1580,1735,2035,2180,2310,2280,1550,1680
"..178",1716.66666666667,2335,1877.5,1580,1735,2020,2680,2310,2280,1550,1680
"..179",1716.66666666667,2335,1877.5,1580,1735,2020,2680,2310,2280,1550,1680
"..180",1800,2260,1877.5,1580,1835,2095,2880,1480,2280,1980,1680
"..181",1866.66666666667,2260,1877.5,1680,1835,2095,2880,1480,1480,1980,1680
"..182",1818.33333333333,2260,1927.5,1780,1835,2095,2880,1400,1480,2570,1680
"..183",1816.66666666667,2260,1927.5,1650,1835,2082.5,2880,1400,1480,2570,1680
"..184",1816.66666666667,2260,1927.5,1650,1835,2082.5,2880,1400,1480,2570,1680
"..185",1753.33333333333,2335,1927.5,1780,1835,1775,2880,1400,1480,2820,1680
"..186",1985,2335,1927.5,1680,1835,2075,2680,2580,2280,2450,1680
"..187",1985,2335,1927.5,1980,1835,2075,2680,2580,2580,2450,1680
"..188",2085,2335,1977.5,1980,1885,2207.5,2680,2580,2580,2450,1880
"..189",2085,2335,2027.5,2500,1935,2207.5,2680,2580,2580,2450,1880
"..190",2125,2385,2160,2100,1990,2207.5,2680,2640,2580,2450,1880
"..191",2125,2385,2160,2100,1990,2207.5,2680,2640,2580,2450,1880
"..192",2188.33333333333,2385,2160,2100,1990,2207.5,2680,2640,2780,2450,1880
"..193",2105,2435,2160,1900,1915,2187.5,2680,2640,2780,2180,1880
"..194",2055,2435,2160,1900,1915,2165,2680,2640,2780,2180,1880
"..195",2075,2435,2160,1900,2065,2165,2680,2380,2780,2180,1880
"..196",1925,2460,2160,1900,2065,2165,2680,2380,2780,2180,1880
